RequestedModel,Model,TrainPredictSeconds,NDCG@10,HitRate@10,MRR@10,Catalog coverage@10,NDCG@20,HitRate@20,MRR@20,Catalog coverage@20
SASRec,SASRec,13.4325,0.07303189790540209,0.14253897550111358,0.05215028104783116,0.36152471709350803,0.09269180806818136,0.22048997772828507,0.057526040515673484,0.46873138773079215
LLM2SASRec,LLM2SASRec,14.3259,0.05993760174805413,0.12472160356347439,0.04068476685403189,0.23228111971411555,0.07488841597083878,0.18485523385300667,0.04466719835082278,0.3162596783799881
BERT4Rec,BERT4Rec,13.8441,0.05593550393172751,0.1091314031180401,0.03999098525824584,0.24300178677784395,0.07004821454961661,0.16481069042316257,0.04388069288268906,0.3424657534246575
LLM2GRU4Rec,LLM2GRU4Rec,12.5729,0.05211073517870328,0.111358574610245,0.0344336621062679,0.21322215604526504,0.0680583659678236,0.1759465478841871,0.03860749813124198,0.31685527099463967
GRU4Rec,GRU4Rec,13.0106,0.04532505978806714,0.0957683741648107,0.02989270689716124,0.17391304347826086,0.061334652760228515,0.1603563474387528,0.03411747992377806,0.25670041691483025
V-SKNN,V-SKNN,24.7254,0.04841744624713029,0.0935412026726058,0.03499929296143104,0.18820726622989875,0.06110260070021986,0.1447661469933185,0.03834541101403478,0.2531268612269208
LLM2BERT4Rec,LLM2BERT4Rec,13.9694,0.04669343412678711,0.0957683741648107,0.0318096652172376,0.20011911852293032,0.05923863660976391,0.1447661469933185,0.03533371432883248,0.2829064919594997
S-SKNN,S-SKNN,23.9094,0.03912687940954171,0.0779510022271715,0.027547990242867745,0.17927337701012508,0.051329663020085015,0.12694877505567928,0.030799515213538117,0.24597974985110185
SKNN,SKNN,11.7481,0.03415538832012163,0.062360801781737196,0.02554000070703857,0.17391304347826086,0.04936033601163878,0.12249443207126949,0.029717656682808,0.23466349017272187
SF-SKNN,SF-SKNN,11.3915,0.03386034754461413,0.0779510022271715,0.021249160391699363,0.21083978558665872,0.046904751722338794,0.13140311804008908,0.024577706733788018,0.2930315664085765
Popular,Popularity,0.0117,0.012042240747729265,0.031180400890868598,0.00630590023685792,0.02501488981536629,0.016377450645856266,0.04899777282850779,0.00740301805870631,0.04526503871351995
LLMSeqSim,LLMSeqSim,0.0836,0.012280159656727001,0.028953229398663696,0.007414183193693216,0.6569386539606908,0.01455187218860167,0.0378619153674833,0.008049714452832493,0.7712924359737939
